FIRE_NAME,acres_geom,sev1_acres,sev2_acres,sev3_acres,sev4_acres,sev5_acres,sev6_acres,burned_acres
EL DORADO,22503.71199310342,1636.3812571518622,7068.597700097144,9061.700285935007,4718.551390729962,19.793141055519943,0.0,22485.230633913976
MOUNTAIN VIEW,20374.94028011024,3974.4182449797404,6330.469215116575,2799.72868256113,1312.1295755906478,0.6671845299613464,0.0,14416.745718248092
VALLEY,16389.545462744172,1521.847912841831,6942.277429091129,5284.991056667145,2599.128533886085,52.92997271026681,16.45721840571321,16348.24493248619
BLUE RIDGE,13694.544963475157,497.052474821203,12683.845099095155,675.1907443208826,50.706024277062326,1.111974216602244,0.0,13906.794342514304
SILVERADO,12469.257428761735,1175.3567469485718,7247.625548970105,3936.611121615264,124.76350710277177,4.447896866408976,93.62822903790894,12484.356924636713
BACCARAT,10456.443748143964,312.2423600219101,9341.25060398881,500.3883974710098,0.0,0.8895793732817951,0.0,10153.88136148173
HOG,9566.396495083569,818.4130234192515,3419.09832120858,3697.314270202461,1760.0327900380316,30.245698691581033,22.684274018685777,9694.858404868324
NADEAU,9150.367731859347,652.5064703021967,5990.427499679608,2268.205007025257,0.0,0.0,0.0,8911.138977007062
DEVIL,8871.924151093694,1130.877778284482,3701.094982538909,3087.9523995044315,1124.87311751483,0.0,0.0,9044.798277842652
RATTLESNAKE,8422.89409156587,2760.36479529341,4975.639829608401,1017.9011978776941,117.20208242987651,0.6671845299613464,0.0,8871.107905209381
STAGECOACH,7750.5997466418075,118.75884633311965,2891.8001476957957,3550.9784632976057,1187.1436736445555,0.0,0.0,7748.6811309710765
CARMEL,6997.032923897781,1224.950797009032,2484.150399889413,2657.1735879927223,738.5732746672104,7.561424672895258,0.0,7104.848059558378
BLUEJAY,6922.008432902284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH,6882.078809045055,501.9451613742529,5460.460588046979,829.0879758986331,18.90356168223815,0.4447896866408976,0.0,6810.397287002103
